datetime,season,weather,temp,humidity,windspeed,casual,registered,count
2011-01-01 00:00:00,3,2,6.66,76.62,9.57,5,128,133
2011-01-01 01:00:00,4,3,13.54,55.91,4.01,36,184,220
2011-01-01 02:00:00,1,3,29.58,20.97,33.61,34,97,131
2011-01-01 03:00:00,3,1,7.4,61.64,15.85,6,47,53
2011-01-01 04:00:00,3,4,30.66,98.71,11.47,14,199,213
2011-01-01 05:00:00,4,1,7.76,61.84,19.0,20,20,40
2011-01-01 06:00:00,1,4,30.03,34.59,29.65,37,158,195
2011-01-01 07:00:00,1,1,15.82,21.77,33.59,35,185,220
2011-01-01 08:00:00,3,3,23.37,48.38,32.26,22,174,196
2011-01-01 09:00:00,2,1,9.59,93.46,43.16,28,22,50
2011-01-01 10:00:00,3,4,6.99,99.72,10.94,12,90,102
2011-01-01 11:00:00,3,2,11.48,95.63,31.84,4,6,10
2011-01-01 12:00:00,3,4,8.84,78.35,5.06,46,127,173
2011-01-01 13:00:00,3,2,14.37,64.65,27.4,38,48,86
2011-01-01 14:00:00,4,3,20.43,67.25,29.2,38,98,136
2011-01-01 15:00:00,1,4,22.66,63.12,10.81,41,30,71
2011-01-01 16:00:00,4,1,28.7,76.56,19.58,44,124,168
2011-01-01 17:00:00,4,4,24.69,53.51,41.36,42,174,216
2011-01-01 18:00:00,4,2,23.26,73.54,7.42,0,92,92
2011-01-01 19:00:00,3,3,17.35,29.73,21.73,19,195,214
2011-01-01 20:00:00,2,1,19.21,41.26,46.64,42,34,76
2011-01-01 21:00:00,1,4,17.44,86.88,25.21,0,33,33
2011-01-01 22:00:00,2,2,30.26,92.3,36.26,34,185,219
2011-01-01 23:00:00,4,1,11.9,63.12,41.34,39,14,53
2011-01-02 00:00:00,4,3,5.17,22.53,10.19,44,77,121
2011-01-02 01:00:00,2,1,24.54,94.16,10.91,6,84,90
2011-01-02 02:00:00,2,3,11.07,76.17,37.93,34,70,104
2011-01-02 03:00:00,2,1,31.7,53.12,37.67,33,80,113
2011-01-02 04:00:00,4,4,30.77,67.87,3.01,49,169,218
2011-01-02 05:00:00,4,2,7.3,54.38,16.12,4,145,149
2011-01-02 06:00:00,1,4,8.19,57.23,19.93,28,37,65
2011-01-02 07:00:00,1,4,19.86,90.94,41.45,49,63,112
2011-01-02 08:00:00,4,3,23.28,32.89,21.09,47,28,75
2011-01-02 09:00:00,2,3,13.25,28.29,46.3,26,117,143
2011-01-02 10:00:00,2,3,26.5,20.22,49.83,6,114,120
2011-01-02 11:00:00,1,4,22.85,45.12,39.04,0,9,9
2011-01-02 12:00:00,4,1,14.74,31.79,33.32,8,16,24
2011-01-02 13:00:00,1,1,5.76,37.6,19.59,46,159,205
2011-01-02 14:00:00,1,4,27.5,20.9,3.35,0,188,188
2011-01-02 15:00:00,3,4,11.44,38.18,28.66,26,114,140
2011-01-02 16:00:00,3,2,30.03,46.62,18.09,16,83,99
2011-01-02 17:00:00,3,3,17.61,22.53,17.54,31,80,111
2011-01-02 18:00:00,2,3,22.31,68.63,34.39,40,173,213
2011-01-02 19:00:00,4,4,31.19,65.5,23.18,29,70,99
2011-01-02 20:00:00,4,4,30.91,27.76,37.6,14,114,128
